team_name
Björkhagens IF
Solna SK
Hammarby Heights
Göta BK
Skogås United
Södermalm City
Västerås FC
Uppsala Rangers
Malmö North End
Luleå Athletic
Hudiksvall Rovers
Örebro Town
Norrköping Albion
Halmstad Mariners
Kalmar Phoenix
Karlstad Knights
Sundsvall Spartans
Östersund Wolves
Eskilstuna Royals
Kiruna Polar Bears
Bromma Jets
Visby Vikings
Lidingö Islanders
Täby Titans
Sollentuna Thunder
Borlänge Borough
Gävle Galaxy
Varberg Voyage
Falkenberg Flyers
Ystad Yellowjackets
Torslanda IK
AIK
IFK Göteborg
Malmö FF
Djurgårdens IF
Hammarby IF
IF Elfsborg
BK Häcken
Kalmar FF
Halmstads BK
GAIS
Örebro SK
IFK Norrköping
IK Sirius
Degerfors IF
Mjällby AIF
Västerås SK
Real Göteborg
FC Skåne
Norra United
Södra FF
Stockholm City FC
Vikingarna FK
Luleå FC
Sundsvall Rangers
Kiruna FF
Falun United
Trelleborg City
Kristianstad FC
Eskilstuna Warriors
Borlänge IF
Östersund United
Hudiksvall Heroes
Lidingö FC
Sigtuna IF
Visby Rangers
Ystad FK
Borås Blades
Landskrona Strikers
Varberg Vikings
Karlskrona SC
Motala FC
Ljungby IF
Kungsbacka Knights
Växjö FC
Skellefteå United
Piteå FK
Örnsköldsvik FF
Värnamo FC
Nyköping City
Enköping Eagles
Sollentuna FC
Täby Titans
Jönköping City
Falkenberg FF
Mariestad FC
Helsingborg United
Paris Galaxy
London Stars
Berlin Blades
Roma Wolves
Madrid Royals
Lisbon Kings
Amsterdam Lions
Oslo Thunder
Copenhagen Crushers
Reykjavik Raiders
Moscow Bears
Kiev Dynamo
Warsaw United
Belgrade Titans
Zagreb Lions
Prague Wolves
Helsinki Hawks
Tallinn FC
Riga Royals
Vilnius Vipers
Örebro Titans
Kungsör United
Sala Warriors
Laxå FC
Arvika IF
Åmål United
Skövde Raiders
Uddevalla City
Lysekil IF
Strömstad Rangers
Båstad Wolves
Ängelholm FC
Bollnäs Lions
Sandviken FF
Sollefteå IF
Härnösand City
Umeå Royals
Överkalix United
Pajala FC
Haparanda Strikers
Stockholm Spartans
Solna Vikings
Nacka FF
Täby City
Danderyd IF
Åkersberga FC
Tyresö Wolves
Haninge FC
Botkyrka United
Nynäshamn Rangers
Huddinge IF
Lidingö Knights
Ekerö FF
Enskede City
Södermalm FC
Kungsholmen United
Bromma Blades
Alvik Lions
Skåne Raiders
Lund City
Eslöv FC
Höör United
Simrishamn IF
Ystad Wolves
Tomelilla FC
Sjöbo United
Bjuv IF
Helsingborg Titans
